,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
143,FVPQ11,Shoppings,74.8,15.6,13.28,0.39,209451000,148216,1,3643.65,927.08,25.44,9.5
144,FZDA11,Outros,120.0,1.42,0.87,0.7,186000000,177469,6,2.14,0.05,2.21,0.0
145,FZDB11,Outros,114.0,-0.64,3.31,0.71,410400000,486,16,3.15,0.0,0.0,0.0
146,GALG11,Híbrido,9.08,5.16,6.2,0.96,1142860000,0,3,308.51,39.16,12.69,0.0
147,GAME11,Outros,9.06,7.11,12.74,0.93,196581000,164284,0,0.0,0.0,0.0,0.0
148,GARE11,Híbrido,9.04,5.19,4.67,0.95,1137830000,4934540,3,307.15,39.16,12.75,0.0
149,GCFF11,Títulos e Val Mob,69.3,12.04,0.0,0.89,24981100,0,0,0.0,0.0,0.0,0.0
150,GCOI11,Híbrido,98.99,-1.58,0.81,1.03,11185900,1773,5,5749.79,0.0,0.0,0.0
151,GCRA11,Títulos e Val Mob,58.91,24.96,19.0,0.66,103143000,268841,0,0.0,0.0,0.0,0.0
152,GCRI11,Títulos e Val Mob,71.94,11.63,14.69,0.77,104591000,172821,0,0.0,0.0,0.0,0.0
153,GESE11B,Outros,1520.0,11.39,154.72,1.36,79040000,0,1,0.0,725.37,0.0,0.0
154,GGRC11,Logística,11.06,8.67,10.3,0.99,1059580000,1393200,19,1061.66,107.81,10.16,0.0
155,GLOG11,Logística,63.03,17.81,10.36,0.58,47272500,48875,1,652.92,143.55,21.99,0.0
156,GRLV11,Logística,145.5,5.72,0.0,24.38,156199000,0,1,0.0,183.0,0.0,3.69
157,GRWA11,Títulos e Val Mob,10.0,7.76,15.04,0.98,27584900,17625,0,0.0,0.0,0.0,0.0
158,GSFI11,Shoppings,7.97,0.0,0.0,0.58,687885000,950252,0,0.0,0.0,0.0,0.0
159,GTLG11,Logística,63.99,13.75,0.87,0.7,459000000,0,5,2714.27,318.12,11.72,1.69
160,GTWR11,Lajes Corporativas,82.56,11.77,10.81,0.82,990720000,1493210,3,10946.3,1387.44,12.68,0.0
161,GURB11,Híbrido,108.0,7.39,3.8,0.93,122597000,0,2,21681.7,3199.8,14.76,9.7
162,GWIR11,Shoppings,175.99,2.8,0.0,0.74,67231200,0,0,0.0,0.0,4.21,0.0
163,GZIT11,Híbrido,55.71,-10.66,6.75,0.58,1216780000,862986,6,8500.38,904.76,10.64,18.04
164,HAAA11,Lajes Corporativas,34.21,12.02,8.55,0.43,118196000,8920,2,8763.21,1282.78,14.64,21.37
165,HABT11,Títulos e Val Mob,86.85,14.26,14.58,0.89,705811000,2107310,0,0.0,0.0,0.0,0.0
166,HBCR11,Outros,144.55,5.12,5.31,1.26,231280000,2711830,5,5146.56,224.27,4.36,0.0
167,HBRH11,Híbrido,90.8,6.94,3.79,0.78,251716000,0,5,8025.28,702.85,8.76,2.83
168,HBTT11,Títulos e Val Mob,1055.0,6.53,0.0,1.19,190126000,0,0,0.0,0.0,0.0,0.0
169,HCHG11,Outros,70.0,10.58,11.25,0.72,84000000,20916,0,0.0,0.0,0.0,0.0
170,HCRI11,Hospital,271.97,12.1,11.29,0.85,54394000,29297,1,9772.05,1257.25,12.87,0.0
171,HCTR11,Títulos e Val Mob,30.69,13.7,14.33,0.27,677764000,1115320,0,0.0,0.0,0.0,0.0
172,HDEL11,Logística,109.99,10.88,12.75,1.18,92391600,417,0,0.0,0.0,0.0,0.0
173,HFOF11,Títulos e Val Mob,70.35,10.41,10.18,0.9,1621170000,1553860,0,0.0,0.0,0.0,0.0
174,HGAG11,Outros,18.52,7.04,11.55,0.78,4597630,3635,0,0.0,0.0,0.0,0.0
175,HGBL11,Logística,10.35,0.04,6.12,1.01,24840000,146982,0,0.0,0.0,0.0,0.0
176,HGBS11,Shoppings,216.0,6.89,9.68,0.95,2749640000,4295690,14,5135.44,340.67,6.63,5.71
177,HGCR11,Títulos e Val Mob,103.83,11.41,10.87,1.03,1600860000,3456380,0,0.0,0.0,0.0,0.0
178,HGFF11,Títulos e Val Mob,85.0,8.7,9.33,0.93,243406000,672167,0,0.0,0.0,0.0,0.0
179,HGIC11,Títulos e Val Mob,97.0,11.95,12.11,0.83,44882500,28045,2,0.0,0.0,0.0,0.0
180,HGJH11,Lajes Corporativas,191.29,9.5,0.0,0.56,335342000,0,2,26299.5,2727.97,10.37,3.42
181,HGLG11,Logística,161.0,6.23,7.85,1.02,5439800000,8189540,25,3232.99,209.17,6.47,8.39
182,HGPO11,Lajes Corporativas,309.92,5.87,5.8,0.9,543307000,840373,2,42609.3,2727.97,6.4,3.42
183,HGRE11,Lajes Corporativas,114.08,6.37,8.79,0.74,1348170000,1842120,16,7135.56,677.26,9.49,26.34
